date,time,long,lat,mag
2004-12-26,00:58:53,95.952,3.331,9.31
2004-12-26,01:22:25,94.039,7.427,6.1
2004-12-26,01:25:49,94.24,5.556,6.08
2004-12-26,01:30:15,93.33,8.876,5.55
2004-12-26,01:48:50,94.425,5.42,5.87
2004-12-26,02:00:39,94.514,6.916,6.09
2004-12-26,02:16:00,92.556,12.326,5.69
2004-12-26,02:22:01,92.457,8.806,5.77
2004-12-26,02:34:52,94.238,3.977,5.75
2004-12-26,02:36:08,92.918,12.16,5.93
2004-12-26,02:38:09,92.366,8.364,5.55
2004-12-26,02:52:01,92.518,12.524,5.89
2004-12-26,02:59:13,94.354,3.172,5.73
2004-12-26,03:19:12,94.188,3.524,5.58
2004-12-26,03:24:54,94.134,4.507,5.92
2004-12-26,03:40:16,94.298,5.485,5.68
2004-12-26,03:51:14,94.776,5.182,5.72
2004-12-26,04:00:57,94.08,6.758,5.56
2004-12-26,04:02:54,94.822,4.903,5.92
2004-12-26,04:10:11,92.87,5.487,5.56
2004-12-26,04:21:27,93.024,6.925,7.18
2004-12-26,06:02:28,94.039,8.264,6.02
2004-12-26,06:11:05,93.748,9.172,5.24
2004-12-26,06:22:00,92.26,10.562,6
2004-12-26,06:38:37,92.963,6.711,5.62
2004-12-26,06:56:48,92.338,10.975,5.37
2004-12-26,06:59:57,93.74,9.309,5.46
2004-12-26,07:07:09,93.692,10.354,5.6
2004-12-26,07:51:17,93.428,7.808,5.95
2004-12-26,07:52:29,93.996,7.973,5.5
2004-12-26,09:20:02,92.325,8.799,6.6
2004-12-26,10:18:14,93.816,8.821,6.33
2004-12-26,10:33:04,92.732,8.693,5.51
2004-12-26,10:43:29,92.825,6.527,5.49
2004-12-26,10:51:19,92.364,7.626,6.33
2004-12-26,13:56:38,94.475,2.755,5.9
2004-12-26,15:06:33,94.134,3.582,5.96
2004-12-26,15:12:21,93.026,6.645,6.12
2004-12-26,19:03:48,94.255,4.106,5.52
2004-12-26,19:19:55,94.116,2.653,6.1
2004-12-26,21:06:47,96.32,4.482,5.69
2004-12-27,00:32:16,94.41,5.503,5.73
2004-12-27,00:49:29,92.407,12.942,5.74
2004-12-27,06:59:14,95.526,2.997,5.62
2004-12-27,07:47:33,94.536,2.717,5.48
2004-12-27,08:37:36,93.096,6.431,5.58
2004-12-27,09:39:06,94.605,5.362,6.02
2004-12-27,09:57:53,92.701,7.734,5.65
2004-12-27,10:05:04,95.158,4.741,5.72
2004-12-27,14:46:47,92.512,12.392,5.56
2004-12-27,19:13:18,92.466,11.628,5.46
2004-12-27,20:10:50,95.645,2.909,5.73
2004-12-27,20:23:42,91.629,7.074,5.72
2004-12-28,00:37:51,94.111,7.69,5.49
2004-12-28,11:17:43,95.169,4.656,5.71
2004-12-29,01:39:40,93.156,8.338,5.86
2004-12-29,01:50:55,93.689,9.008,6.02
2004-12-29,05:56:50,93.183,8.781,6.27
2004-12-29,06:05:16,93.131,8.772,5.83
2004-12-29,21:13:00,94.673,5.226,5.54
2004-12-30,17:58:10,92.466,12.227,5.62
2004-12-31,02:24:00,92.582,7.105,6.06
2004-12-31,09:56:59,93.883,7.588,5.59
2004-12-31,12:04:58,92.911,6.165,5.98
2004-12-31,17:48:05,95.155,4.799,5.92
2005-01-01,01:55:28,95.63,2.864,5.7
2005-01-01,04:03:11,94.33,5.467,5.66
2005-01-01,06:25:45,92.262,5.116,6.66
2005-01-01,14:29:14,93.179,8.19,5.5
2005-01-01,19:08:03,94.294,7.355,6.1
2005-01-01,22:28:15,92.74,7.121,5.5
2005-01-02,08:27:44,95.446,3.209,5.77
2005-01-02,15:35:56,92.709,6.361,6.36
2005-01-04,09:13:12,92.385,10.697,5.94
2005-01-04,09:17:50,92.162,10.516,5.44
2005-01-04,19:14:50,91.726,10.541,5.63
2005-01-05,14:54:03,94.415,5.498,5.9
2005-01-06,00:56:28,94.745,5.33,5.65
2005-01-09,22:12:56,95.044,4.858,5.98
2005-01-14,21:38:15,93.814,3.146,5.57
2005-01-24,04:16:48,92.581,7.354,6.24
2005-01-26,17:30:27,94.051,8.264,5.54
2005-01-26,22:00:41,94.563,2.633,5.88
2005-01-27,06:56:56,94.029,7.968,5.53
2005-01-27,08:19:07,94,7.975,5.49
2005-01-27,11:47:34,94.101,7.932,5.49
2005-01-27,13:57:03,94.165,8.051,5.47
2005-01-27,16:58:50,94.018,7.806,5.74
2005-01-27,18:52:37,94.027,7.818,5.57
2005-01-28,06:10:27,94.003,7.832,5.52
2005-01-28,06:13:25,93.998,7.852,5.7
2005-01-28,07:49:15,94.036,7.891,5.57
2005-01-29,06:10:41,93.641,3.306,5.49
2005-01-29,20:28:22,94.135,7.735,5.57
2005-02-02,01:30:20,93.976,9.945,5.54
2005-02-03,04:51:18,93.3,5.651,5.55
2005-02-05,04:03:13,94.873,2.136,5.98
2005-02-05,04:09:52,94.905,2.259,5.86
2005-02-05,17:35:47,94.126,8.119,5.9
2005-02-09,13:27:26,95.214,4.804,5.96
2005-02-14,17:06:53,98.79,-0.228,5.77
2005-02-16,08:19:42,93.959,8.182,5.87
2005-02-17,05:31:28,95.217,4.72,5.65
2005-02-18,19:33:45,94.476,5.487,5.62
2005-02-22,17:11:58,91.803,10.829,5.49
2005-02-24,07:35:50,95.662,2.921,5.59
2005-02-25,13:31:14,94.062,7.691,5.58
2005-02-26,12:56:51,95.585,2.864,6.71
2005-03-17,23:20:48,95.05,4.872,5.74
2005-03-25,01:04:52,94.335,5.463,5.85
2005-03-28,16:38:43,97.416,1.233,6.01
2005-03-28,16:44:29,96.516,2.068,5.62
2005-03-28,17:59:47,97.779,0.899,5.48
2005-03-28,18:30:43,97.826,0.863,6.48
2005-03-28,18:48:53,96.002,2.714,5.53
2005-03-28,19:02:19,97.828,0.989,6.29
2005-03-28,19:41:45,96.662,2.043,5.22
2005-03-28,20:06:25,97.475,1.016,5.75
2005-03-28,23:12:58,97.045,0.145,5.65
2005-03-28,23:37:31,96.411,2.86,5.75
2005-03-28,23:39:48,96.38,2.888,5.74
2005-03-29,04:09:14,97.046,1.611,5.5
2005-03-29,04:19:01,97.126,1.236,5.51
2005-03-29,04:50:05,97.047,0.136,5.5
2005-03-29,05:16:29,96.535,2.57,5.88
2005-03-29,05:25:25,96.639,2.103,5.32
2005-03-29,06:16:13,99.081,1.75,5.47
2005-03-30,01:13:15,97.109,1.737,5.53
2005-03-30,16:19:42,95.449,3.033,6.25
2005-03-30,17:29:21,95.462,2.937,5.64
2005-03-31,07:23:54,97.092,1.756,5.8
2005-04-01,20:32:37,98.176,0.317,5.56
2005-04-03,00:59:21,98.32,0.376,6.04
2005-04-03,03:10:57,98.04,2.058,6.25
2005-04-04,04:33:47,97.941,1.582,5.59
2005-04-07,11:46:04,97.405,0.478,5.57
2005-04-08,01:51:38,97.334,0.511,5.66
2005-04-08,05:48:38,97.676,-0.235,6.11
2005-04-10,10:27:57,95.321,2.842,6
2005-04-10,10:29:12,99.55,-1.682,6.69
2005-04-10,10:45:49,99.572,-1.622,6.25
2005-04-10,10:55:07,99.726,-1.739,5.36
2005-04-10,11:14:19,99.68,-1.821,6.49
2005-04-10,11:45:02,99.582,-1.651,5.82
2005-04-10,11:55:30,99.659,-1.746,5.85
2005-04-10,13:39:45,99.632,-1.724,5.59
2005-04-10,13:54:15,99.864,-1.836,5.5
2005-04-10,17:24:38,99.709,-1.583,6.13
2005-04-11,06:11:11,96.728,2.099,6.03
2005-04-14,11:29:52,99.985,-1.868,5.74
2005-04-16,16:38:03,97.695,1.762,6.36
2005-04-28,14:07:33,96.766,2.141,6.21
2005-05-14,05:05:18,98.432,0.534,6.73
2005-05-18,11:37:33,93.371,5.639,6.1
2005-05-18,11:37:46,93.479,5.493,5.96
2005-05-19,01:54:52,96.994,1.969,6.86
2005-05-21,23:01:15,94.798,5.307,5.61
2005-05-26,10:08:26,93.253,5.703,5.67
2005-05-31,02:29:32,94.48,5.242,5.48
2005-06-03,00:42:02,97.154,1.429,5.81
2005-06-08,06:28:11,96.707,2.163,6.01
2005-06-10,17:42:41,97.023,1.791,5.53
2005-06-13,19:59:52,94.075,2.67,5.85
2005-07-05,01:52:04,97.088,1.832,6.65
2005-07-11,14:36:09,97.202,1.317,5.53
2005-07-24,15:42:06,92.124,7.938,7.24
2005-07-25,03:26:17,91.942,8.193,5.64
2005-07-29,20:33:37,93.527,2.811,5.48
2005-07-30,15:13:20,94.459,5.199,5.81
2005-09-02,08:04:04,98.886,2.42,5.47
2005-09-06,11:00:48,97.571,-0.065,5.59
2005-09-10,16:57:47,95.058,4.914,5.77
2005-09-13,14:32:55,91.901,8.064,5.46
2005-10-05,08:46:42,95.531,5.153,5.69
2005-10-08,04:30:45,97.885,1.953,5.68
2005-10-11,15:05:41,95.111,4.842,5.88
2005-10-16,19:03:24,97.931,2.057,5.66
2005-11-04,17:44:48,97.266,1.232,5.47
2005-11-19,14:10:13,96.805,2.126,6.33
2005-11-27,23:31:37,97.199,1.152,5.6
2005-12-18,04:23:10,95.884,2.753,5.66
